CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
Y-YP1099                       OLEO DE MIRRA REPARADOR 90ML R                       45                         0                   63                0450      0                   45                                                                                                                 
Y-YP1099                       OLEO DE MIRRA REPARADOR 90ML R                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1099                       OLEO DE MIRRA REPARADOR 90ML R                       4222                       988                 60                0450      12                  5210                                                                                                               
Y-YP1100                       MIRRA - DUOCARE 250G UNICA                           15                         13                  60                0450      2                   28                                                                                                                 
Y-YP1101                       PINCEL CHOCOLIZZI - FASHION GO                       57                         0                   60                0450      5                   57                                                                                                                 
Y-YP1101                       PINCEL CHOCOLIZZI - FASHION GO                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1102                       CAMBUCA CHOCOLIZZI - FASHION G                       2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1102                       CAMBUCA CHOCOLIZZI - FASHION G                       56                         0                   60                0450      6                   56                                                                                                                 
Y-YP1123                       SHAMPOO CRONOGRAMA CAPILAR 1L                        5                          0                   60                0450      1                   5                                                                                                                  
Y-YP1123                       SHAMPOO CRONOGRAMA CAPILAR 1L                        2                          0                   64                0450      0                   2                                                                                                                  
Y-YP12                         LEAVE-IN MULTIFUNCAO 250G - YB                       3                          0                   62                0450      0                   3                                                                                                                  
Y-YP12                         LEAVE-IN MULTIFUNCAO 250G - YB                       1                          0                   60                0450      1                   1                                                                                                                  
Y-YP1223                       MEMORIFIOS STEMCELL DISCOVERY                        633                        0                   60                0450      0                   633                                                                                                                
Y-YP1223                       MEMORIFIOS STEMCELL DISCOVERY                        2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1224                       ESCOVA PROGRESSIVA - SELANTE K                       23                         4                   60                0450      0                   27                                                                                                                 
Y-YP1239                       YBERA FASHION GOLD - CUIDADOS                        5110                       84                  60                0450      2                   5194                                                                                                               
Y-YP1240                       YBERA FASHION GOLD - CUIDADOS                        5017                       86                  60                0450      2                   5103                                                                                                               
Y-YP1241                       YBERA FASHION GOLD - CUIDADOS                        3926                       82                  60                0450      2                   4008                                                                                                               
Y-YP1242                       SHAMPOO MULTIFUNCAO 300ML CUID                       11                         0                   60                0450      0                   11                                                                                                                 
Y-YP1243                       SHAMPOO MULTIFUNCAO 500ML - CU                       10                         1                   60                0450      9                   11                                                                                                                 
Y-YP1244                       SHAMPOO MULTIFUNCAO 1L CUIDADO                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1244                       SHAMPOO MULTIFUNCAO 1L CUIDADO                       1                          0                   60                0450      0                   1                                                                                                                  
Y-YP1245                       KIT CUIDADOS PROFUNDOS UNICA                         4                          0                   62                0450      0                   4                                                                                                                  
Y-YP1245                       KIT CUIDADOS PROFUNDOS UNICA                         2842                       583                 60                0450      21                  3425                                                                                                               
Y-YP1246                       YBERA FASHION GOLD - CACHO PER                       2400                       15                  60                0450      0                   2415                                                                                                               
Y-YP1247                       YBERA FASHION GOLD - CACHO PER                       2708                       9                   60                0450      0                   2717                                                                                                               
Y-YP1247                       YBERA FASHION GOLD - CACHO PER                       1                          0                   63                0450      0                   1                                                                                                                  
Y-YP1248                       YBERA FASHION GOLD - CACHO PER                       50                         10                  60                0450      1                   60                                                                                                                 
Y-YP1249                       CREME PARA PENTEAR 500G CACHO                        2471                       203                 60                0450      2                   2674                                                                                                               
Y-YP1250                       LEAVE-IN 300ML - CACHO PERFEIT                       3214                       83                  60                0450      1                   3297                                                                                                               
Y-YP1250                       LEAVE-IN 300ML - CACHO PERFEIT                       2                          0                   63                0450      0                   2                                                                                                                  
Y-YP1251                       SHAMPOO CURVATURAS 500ML CACHO                       5                          0                   60                0450      1                   5                                                                                                                  
Y-YP1251                       SHAMPOO CURVATURAS 500ML CACHO                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1252                       SHAMPOO CURVATURAS 1L CACHO PE                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1252                       SHAMPOO CURVATURAS 1L CACHO PE                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1253                       NUTRE OLEO REPARADOR 150ML CAC                       2316                       101                 60                0450      1                   2417                                                                                                               
Y-YP1254                       KIT CACHO PERFEITO (FORADO EST                       1759                       201                 60                0450      4                   1960                                                                                                               
Y-YP1258                       YBERA FASHION KIDS - SHAMPOO M                       207                        619                 60                0450      1                   826                                                                                                                
Y-YP1258                       YBERA FASHION KIDS - SHAMPOO M                       1                          0                   61                0450      0                   1                                                                                                                  
Y-YP1258                       YBERA FASHION KIDS - SHAMPOO M                       3                          0                   62                0450      0                   3                                                                                                                  
Y-YP1259                       YBERA FASHION KIDS - LEAVE IN                        13                         0                   60                0450      4                   13                                                                                                                 
Y-YP1263                       KIT KIDS MENINA (FORA DO ESTAD                       6092                       438                 60                0450      7                   6530                                                                                                               
Y-YP1263                       KIT KIDS MENINA (FORA DO ESTAD                       14                         0                   61                0450      0                   14                                                                                                                 
Y-YP1263                       KIT KIDS MENINA (FORA DO ESTAD                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1263                       KIT KIDS MENINA (FORA DO ESTAD                       6                          0                   62                0450      0                   6                                                                                                                  
Y-YP1264                       KIT KIDS MENINO UNICA                                1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1264                       KIT KIDS MENINO UNICA                                2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1264                       KIT KIDS MENINO UNICA                                3792                       140                 60                0450      3                   3932                                                                                                               
Y-YP1265                       YBERA FASHION GOLD - LISO PERF                       5919                       11                  60                0450      1                   5930                                                                                                               
Y-YP1266                       YBERA FASHION GOLD - LISO PERF                       6262                       17                  60                0450      2                   6279                                                                                                               
Y-YP1267                       YBERA FASHION GOLD - LISO PERF                       6748                       15                  60                0450      1                   6763                                                                                                               
Y-YP1268                       YBERA FASHION GOLD - LISO PERF                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1268                       YBERA FASHION GOLD - LISO PERF                       17                         0                   60                0450      0                   17                                                                                                                 
Y-YP1269                       KIT LISO PERFEITO (FORA DO EST                       658                        202                 60                0450      3                   860                                                                                                                
Y-YP1269                       KIT LISO PERFEITO (FORA DO EST                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1270                       YBERA FASHION GOLD - LOIRO PER                       1580                       8                   60                0450      0                   1588                                                                                                               
Y-YP1271                       YBERA FASHION GOLD - LOIRO PER                       1579                       8                   60                0450      0                   1587                                                                                                               
Y-YP1272                       YBERA FASHION GOLD - LOIRO PER                       1167                       12                  60                0450      0                   1179                                                                                                               
Y-YP1273                       YBERA FASHION GOLD - LOIRO PER                       2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1273                       YBERA FASHION GOLD - LOIRO PER                       14                         0                   60                0450      2                   14                                                                                                                 
Y-YP1274                       YBERA FASHION GOLD - LOIRO PER                       3112                       39                  60                0450      2                   3151                                                                                                               
Y-YP1275                       KIT LOIRO PERFEITO (FORA DO ES                       2819                       142                 60                0450      3                   2961                                                                                                               
Y-YP1275                       KIT LOIRO PERFEITO (FORA DO ES                       3                          0                   62                0450      0                   3                                                                                                                  
Y-YP1276                       YBERA FASHION GOLD - LISO PERF                       14                         1                   60                0450      1                   15                                                                                                                 
Y-YP147                        MIRRA - MIRRA OIL REPAIR 90ML                        252                        10                  60                0450      35                  262                                                                                                                
